			 			12252
California Polytechnic State University, College of Engineering, 1 Grand Avenue, San Luis Obispo, CA 93407, USA and University of Southern California, Viterbi School of Engineering, Los Angeles, C ...			University of Southern California			1
California Polytechnic State University, San Luis Obispo			 			1
California Polytechnic State University, San Luis Obispo, CA			 			1
California State Polytechnic University in Pomona, CA			 			1
California State University Chico			 			1
California State University Stanislaus			 			1
California State University, Fresno, Fresno			 			1
California State University, Los Angeles, CA			 			1
California State University, San Marcos			 			1
California State University-Fullerton, Fullerton, CA			 			1
Calit2, University of California, San Diego, La Jolla			University of California, San Diego			1
Caltech, MC, Pasadena, CA			California Institute of Technology			1
Caltech, TU München			California Institute of Technology			1
Calxeda Inc., Austin, TX, USA			 			1
Cambridge University, Cambridge			University of Cambridge			1
Camegie Mellon University, Pittsburgh, PA			University of Pittsburgh			1
Campus EL Manar Tunisia			 			1
Canada Research Chair in Cognitive Science and Professor of Philosophy and of Linguistics at Simon Fraser University. Department of Philosophy, Simon Fraser University, Burnaby, BC, Canada V5A 1S6			Simon Fraser University			1
Canberra CMIS Center, CSIRO, Australia			 			1
Canberra Research Laboratory, National ICT Australia, Canberra, A.C.T., Australia and College of Engineering and Computer Science, The Australian National University, Canberra, A.C.T., Australia			Australian National University			1
Canberra Research Laboratory, National ICT Australia, Canberra, ACT, Australia			 			1
Canegie Mellon University, Pittsburgh, PA			University of Pittsburgh			1
Canesta, Inc.			 			1
Canisius College, Buffalo, NY			 			1
Canon Inc., Shimomaruko, Ohta-ku, Tokyo, Japan			 			1
Capgemini UK			 			1
Capital Medical University, Beijing			 			1
Capital One Fianancial			 			1
Cardiff School of Computer Science, Cardiff University, Cardiff, UK			Cardiff University			1
Cardiff School of Computer Science, Cardiff University, Wales, UK			Cardiff University			1
Cardiff University, Cardif			Cardiff University			1
Cardiff University, Wales			Cardiff University			1
Cardiovascular Care Group, Belleville and St. Claires Hospital, Dover, New Jersey, USA			 			1
Cardiovascular Imaging Section, Department of Radiology, University of Pennsylvania School of Medicine, Philadelphia, PA, USA			University of Pennsylvania			1
Carl von Ossietzky University, Oldenburg			 			1
Carleton College			 			1
Carleton Univerisity, Ottawa, Canada			 			1
Carleton University , Ottawa			 			1
Carleton University and University of Ottawa, Ottawa			 			1
Carleton University, Department of Systems and Computer Engineering, Software Quality Engineering Laboratory, 1125 Colonel By Drive, Ottawa, ON, Canada K1S5B6			 			1
Carleton University, Ottawa and University of Agder, Grimstad			 			1
Carleton University, Ottawa, Canada and Simula Research Laboratory, Norway			 			1
Carleton University, Ottawa, Ont., Canada			 			1
Carnegie Mellon Univ., Pittsburgh, PA, USA			Carnegie Mellon University			1
Carnegie Mellon University & Akamai Technologies, Pittsburgh, PA			Carnegie Mellon University			1
Carnegie Mellon University & Microsoft Research, Pittsburgh, Pennsylvania, USA			Carnegie Mellon University			1
Carnegie Mellon University & University of Hawaii, Pittsburgh, PA, USA			Carnegie Mellon University			1
Carnegie Mellon University , Pittsburgh, PA, USA			Carnegie Mellon University			1
Carnegie Mellon University MHCII University of Madeira, Pittsburgh, Pennsylvania, USA			Carnegie Mellon University			1
Carnegie Mellon University Silivon Valley, Moffett Field			Carnegie Mellon University			1
Carnegie Mellon University and Disney Research, Pittsburgh, Pennsylvania, USA			Carnegie Mellon University			1
Carnegie Mellon University and Microsoft Research Asia			Carnegie Mellon University			1
Carnegie Mellon University and Mitsubishi Research, Kobe, Japan			Carnegie Mellon University			1
Carnegie Mellon University and NSF			Carnegie Mellon University			1
Carnegie Mellon University and Panasas, Inc., Pittsburgh, PA, USA			Carnegie Mellon University			1
Carnegie Mellon University and Sharp Corporation, Kobe, Japan			Carnegie Mellon University			1
Carnegie Mellon University and University of Hawaii, Honolulu, HI			Carnegie Mellon University			1
Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213-3890, USA			Carnegie Mellon University			1
Carnegie Mellon University, Computer Science Department, Pittsburgh, PA 15213, USA			Carnegie Mellon University			1
Carnegie Mellon University, Doha, Qatar			Carnegie Mellon University			1
Carnegie Mellon University, Google, Inc.			Carnegie Mellon University			1
Carnegie Mellon University, Intel Research Pittsburgh			Carnegie Mellon University			1
Carnegie Mellon University, Moffet Field			Carnegie Mellon University			1
Carnegie Mellon University, Moffett Field, CA			Carnegie Mellon University			1
Carnegie Mellon University, Moffett Field, CA and Network Security Lab, Electrical Engineering Department, University of Washington, Seattle, WA			Carnegie Mellon University			1
Carnegie Mellon University, Moffett Field, CA, USA			Carnegie Mellon University			1
Carnegie Mellon University, NASA Ames Research Center, Mail Stop 269-3, Moffett Field, CA 94035, United States			Carnegie Mellon University			1
Carnegie Mellon University, PIttsburgh, PA, USA			Carnegie Mellon University			1
Carnegie Mellon University, Pittsbugh, PA, USA			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburg, PA			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburg, USA			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh PA			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh PA, USA			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh and US National Science Foundation, Arlington			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh, CA, USA			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh, PA & College of William and Mary, Williamsburg, VA			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh, PA & UC Berkeley, Berkeley, CA			University of California, Berkeley			1
Carnegie Mellon University, Pittsburgh, PA and Instituto de Telecomunicações			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh, PA and Instituto de Telecomunicações, Instituto Superior Técnico, Lisboa, Portugal			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh, PA, USA & Karlsruhe Institute of Technology, Karlsruhe, Germany			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh, PA, and Ecole Polytechnique Fédérale de Lausanne, Lausanne, Switzerland			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh, Pittsburgh, PA			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh, USA 15213 and Institute of Computer Assisted Surgery, Pittsburgh, USA 15213			Carnegie Mellon University			1
Carnegie Mellon University, Pittsburgh, USA and École Polytechnique Fedéralé de Lausanne, Lausanne, Switzerland			Carnegie Mellon University			1
Carnegie Mellon University, Robotics Institute, 5000 Forbes Ave, Pittsburgh, PA 15213, United States			Carnegie Mellon University			1
Carnegie Mellon University, Seattle, WA, USA			Carnegie Mellon University			1
Carnegie Mellon University, University of Coimbra, Pittsburgh, PA, USA			Carnegie Mellon University			1
Carnegie Mellon University, pittsburgh, PA, USA			Carnegie Mellon University			1
Carnegie Mellon University, pittsburgh, Pennsylvania, USA			Carnegie Mellon University			1
Carnegie Mellon University-Qatar, Doha, Qatar			Carnegie Mellon University			1
Carnegie Mellon University/Conviva, Pittsburgh, PA, USA			Carnegie Mellon University			1
Carnegie Melon University & NASA Ames, Pittsburgh, PA, USA			 			1
Carnegie Melon University, Pittsburgh, PA			University of Pittsburgh			1
Carnegie Melon University, Pittsburgh, USA			University of Pittsburgh			1
Carnegie-Mellon University, Pittsburgh, PA, USA			Carnegie Mellon University			1
Carroll College, Waukesha, WI			 			1
Carrot Search			 			1
Carthage College, Kenosha, WI, USA			 			1
Cascades Volcano Observatory, US Geological Survey, Vancouver			 			1
Caselle Inc., Spanish Fork			 			1
Catholic University of America			 			1
Cavium			 			1
CeWe Color AG & Co. OHG, Oldenburg, Germany			 			1
Cebrowski Institute for Innovation and Information Superiority at the Naval Postgraduate School in Monterey, CA			 			1
Cedars-Sinai Medical Center, Los Angeles, CA			 			1
Cedric, CNAM, Paris, France			 			1
Cell Biology Department, Harvard Medical School, MA, Boston and Institut Pasteur, Quantitative Image Analysis Unit, CNRS URA, Paris, France			 			1
Center for Advanced Computer Studies, University of Louisiana, Lafayette, LA			 			1
Center for Advanced Security Research Darmstadt CASED, Germany			 			1
Center for Advanced Study and Institute for Theoretical Computer Science, Tsinghua University, Beijing, China			Tsinghua University			1
Center for Applied Cybernetics, Faculty of Electrical Engineering, Czech Technical University in Prague, Czech Republic			Czech Technical University			1
Center for Applied Mathematics, Cornell University,Ithaca, NY, USA			Cornell University			1
Center for Applied Medical Research, University of Navarra, Pamplona, Spain			 			1
Center for Applied Proteomics and Molecular Medicine, George Mason University, Manassas, VA 20110, USA			 			1
Center for Applied Scientific Computing, Lawrence Livermore National Laboratory, Livermore			 			1
Center for Applied Scientific Computing, University of California Lawrence Livermore National Laboratory, Livermore, CA 94551, USA			 			1
Center for Artificial Intelligence, New University of Lisbon			Intel			1
Center for Artificial Intelligence, New University of Lisbon, Lisbon, Portugal			Intel			1
Center for Automated Learning and Discovery, Carnegie Mellon University, Pittsburgh, PA 15213, USA			Carnegie Mellon University			1
Center for Automation Research, University of Maryland, College Park, MD			University of Maryland			1
Center for Automation Research, University of Maryland, College Park, MD 20742-3275, USA			University of Maryland			1
Center for Bioimage Informatics, Biomedical Engineering Department, Carnegie Mellon University, Pittsburgh, PA			Carnegie Mellon University			1
Center for Biomolecular Science and Engineering, University of California, Santa Cruz, CA, USA			University of California, Santa Cruz			1
Center for Cancer Research, National Cancer Institute, Bethesda, MD, USA			 			1
Center for Cancer Research, National Cancer Institute, Bethesda, MD, USA and Georgia Institute of Technology, Atlanta, GA 30332-0250, USA			Georgia Institute of Technology			1
Center for Coastal and Ocean Mapping, University of New Hampshire			 			1
Center for Cognitive Robotics, KIST, P.O. Box 131, Cheongryang, Seoul 130-650, Republic of Korea and Department of Electrical and Electronic Engineering, Yonsei University, 134, Shinchon-dong, Seo ...			Yonsei University			1
Center for Cognitive Studies, Tufts University, Medford, MA 02155-7059, USA			 			1
Center for Command Information Systems, Belgrade, Serbia			 			1
Center for Complex Network Research, Northeastern University, Boston, MA			Northeastern University			1
Center for Computational Biology, Montana State University, Bozeman, MT 59715, USA			 			1
Center for Computational Learning Systems, Columbia University, USA			Columbia University			1
Center for Computer Vision and Department of Mathematics, Sun Yat-Sen University, Guangzhou 510275, PR China			 			1
Center for Computer Vision and Department of Mathematics, Sun Yat-Sen University, Guangzhou 510275, PR China and Department of Electric Engineering, City University of Hong Kong, Kowloon, Hong Kon ...			City University of Hong Kong			1
Center for Computing Research, IPN, México City, México			 			1
Center for Economic Research, Tilburg University, Tilburg, The Netherlands and ERIM Institute of Advanced Management Studies, Erasmus University Rotterdam, Rotterdam, The Netherlands			Erasmus University Rotterdam			1
Center for Electronics Design and Technology, Indian Institute of Science, Bangalore, India			Indian Institute of Science			1
Center for Evolutionary Functional Genomics, and Arizona State University, Tempe, AZ			Arizona State University			1
Center for Imaging Science, Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, USA 21218			Johns Hopkins University			1
Center for Imaging Science, Johns Hopkins University, Baltimore, MD			Johns Hopkins University			1
Center for Imaging Science, Johns Hopkins University, Baltimore, USA 21218			Johns Hopkins University			1
Center for Informatics and Systems of the University of Coimbra, Department of Informatics Engineering, Faculty of Science and Technology, University of Coimbra, Coimbra, Portugal			 			1
Center for Information and Systems Engineering and the Department of Electrical and Computer Engineering, Boston University, Brookline, MA			Boston University			1
Center for Information and Systems Engineering, Department of Electrical and Computer Engineering, and Systems Engineering Division, Boston University, Brookline, MA			Boston University			1
Center for Informational Biology, Ochanomizu University, Tokyo, Japan			The University of Tokyo			1
Center for Integrated Bioinformatics, School of Biomedical Engineering, Science and Health Systems, Drexel University, Philadelphia 19104			 			1
Center for International Development and Conflict Management, University of Maryland, College Park, Maryland, USA			University of Maryland			1
Center for Knowledge and Innovation Research, Helsinki, Finland			 			1
Center for Medical Image Science and Visualization, Linköping University, Sweden			 			1
Center for Medical Image Science and Visualization, Linköping University, Sweden / Sectra Imtec AB, Sweden			 			1
Center for Networking and Network Management Research, Bell-Labs, Murray Hill, NJ			 			1
Center for Plant Integrative Biology, School of Bioscience, The University of Nottingham, Sutton Bonington, UK and Tianjin Key Laboratory of Intelligence Computing and Novel Software Technology, T ...			The University of Nottingham			1
Center for Quantifiable Quality of Service in Communication Systems, Norwegian University of Science and Technology, Trondheim, Norway			 			1
Center for Research on Computation and Society, Harvard University, Cambridge, MA			University of Cambridge			1
Center for Security, Theory and Algorithmic Research, International Institute of Information Technology, Gachibowli, Hyderabad, India 500032			 			1
